621128,Impacto TV,1997
621923,Imágenes perdidas,1991
621937,Imágenes prohibidas,1994
621952,Imágenes,1978
623024,In fraganti,1999
627340,Informativo juvenil,1980
627342,Informativos Telecinco,1990
631591,Informes TVG,1991
632233,"Inocente, inocente",1992
635977,Instinto del asesino,1995
639937,Isabel,1996
645442,Iñaki los jueves,1990
645580,J.M. presenta,1990
645605,Ja hi som!,1997
651786,Jaun ta jabe,1997
651934,Jazz entre amigos,1984
662895,Jocs de nit,1992
667212,Judes Xanguet i les Maniquins,1988
670598,Juega con nosotros,1991
670604,Juego de niños,1988
670797,Juguemos al trivial,1992
672553,Juncal,1989
673163,Juntas pero no revueltas,1995
675454,Juvenil cultural,1982
680674,Karaoke especial estrellas Telecinco,1995
680703,Karaoke,1994
686300,Ketty no para,1997
693769,Kiu i els seus amics,1985
694939,Klaatu barada niktó,1996
710758,L'art de viure,1993
710942,L'avi Bernat,1989
711029,L'encyclopédie audio-visuelle,1992
711077,L'entrevista,1996
711166,L'envelat,1997
711410,L'hora de Mari Pau Huguet,1995
711630,L'illa del tresor,1996
711715,L'informatiu cap de setmana,1987
711716,L'informatiu migdia,1982
711717,L'informatiu migdia,1987
711718,L'informatiu vespre,1987
712012,L'ombra nera del Vesuvio,1987
712060,L'ou o la gallina?,1996
712740,La 2 en el teatro,1997
712744,La 2 noticias,1994
714851,La aventura del saber,1992
716222,La aventura humana,1985
716238,La banda de Pérez,1997
716275,La barberia,1990
716363,La barraca,1979
716380,La batalla de las estrellas,1993
716620,La bola de cristal,1984
716640,La bolsa y la vida,1981
716645,La botica de la abuela,1997
717027,La bruixa avorrida,1998
717184,La cara divertida,1997
717263,La casa de la guasa,1993
717291,La casa de los líos,1996
717478,La casa por la ventana,1989
717511,La Celestina,1983
717538,La cesta de la compra,1986
717620,La chistera,1993
717651,La claror daurada,1989
717671,La clave,1976
717675,La clave,1990
717684,La cocina de Arguiñano,1995
718245,La comedia dramática española,1986
718255,La comedia musical española,1985
718268,La comedia,1983
718289,La cometa blanca,1981
718348,La corona mágica,1989
718410,La cosa nostra,1999
718775,La Cucafera,1981
718797,La cueva de los cerrojos,1984
718802,La cuina d'en Miquel,1995
719109,La edad de oro,1983
719241,La España de los Botejara,1978
719242,La España salvaje,1996
719250,La estación de Perpignán,1987
719912,La forja de un rebelde,1990
720081,La Gala 98,1998
720234,La gran ilusión,1999
720403,La granja,1989
720431,La guagua,1975
720432,La guardería,1990
720653,La hora de Pau,1997
720654,La hora de...,1975
720682,La hora del lector,1987
720695,La hora del TPT,1988
720696,La hora H,1996
721192,La llamada de la suerte,1998
721208,La llamada de los gnomos,1987
721210,La Lloll,1993
721261,La lluna,1989
721273,La loba herida,1992
721283,La locomotora,1979
721307,La luna,1989
721418,La mandrágora,1997
721887,La mansión de los Plaff,1979
721994,La memoria fértil,1986
722006,La memòria dels Cargols,1999
722038,La merienda,1990
722126,La mirada crítica,1997
723936,La máquina de la verdad,1993
723951,La máscara negra,1982
724246,La nit bruixa,1989
724258,La nit del Maremàgnum,1996
724300,La noche abierta,1997
724615,La noche de Carmen,1998
724616,La noche de los castillos,1995
724644,La noche de...,1997
724658,La noche del cine español,1984
724690,La noche por delante,1998
724704,La noche prohibida,1996
724720,La noche se mueve,1992
724721,La noche temática,1995
725022,La Noche Tuerta,1999
725023,La noche,1989
725255,La odisea,1976
725283,La orquesta,1984
725311,La otra familia,1996
725336,La palmera,1988
725389,La parada,1989
725438,La parodia nacional,1996
726169,La picota del mundo,1990
726210,La piovra 6 - L'ultimo segreto,1992
726222,La piraña,1999
726229,La plaça de la lluna,1987
726364,La porteria,1996
726391,La primera respuesta,1993
726419,La puerta del misterio,1982
726744,La quinta marcha,1990
726889,La realidad inventada,1988
726893,La regenta,1995
727095,La revista de l'espectacle,1993
727127,La revista,1996
727611,La ronda,1991
