30839,"Almodóvar, Pedro",m,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain",24 September 1949
30916,"Almorós, Antonio",m,"Madrid, Madrid, Spain",25 January 1922
30959,"Almunia, Joaquín",m,,
31053,"Aloma, Ángel",m,,
31122,"Alonso Cortés, César",m,,
31123,"Alonso de Santos, José Luis",m,"Valladolid, Castilla y León, Spain",23 August 1942
31124,"Alonso Fontán, Antón",m,,
31129,"Alonso Millán, Juan José",m,"Madrid, Spain",1936
31133,"Alonso Naranjo, Rafael",m,,
31134,"Alonso Nava, Isidro",m,,
31137,"Alonso Vaz, J.",m,,
31140,"Alonso, Abraham",m,"Lima, Perú",17 March 1986
31146,"Alonso, Alberto",m,,
31148,"Alonso, Alejandro",m,,
31157,"Alonso, Alfredo",m,,
31190,"Alonso, Carlos Alberto",m,"Ferrol, A Coruña, Galicia, Spain",19 November 1970
31204,"Alonso, Daniel",m,,
31209,"Alonso, David",m,"Madrid, Spain",1966
31221,"Alonso, Eduardo",m,"Vigo, Pontevedra, Galicia, Spain",1948
31223,"Alonso, Emilio",m,,
31224,"Alonso, Emilio",m,"Seville, Seville, Andalucía, Spain",23 May 1950
31227,"Alonso, Enrique",m,,
31242,"Alonso, Fernando",m,,
31244,"Alonso, Florentino",m,,
31254,"Alonso, Gregorio",m,,
31258,"Alonso, Hilarino",m,,
31268,"Alonso, J.M.",m,,
31274,"Alonso, Javier",m,,
31281,"Alonso, Jesús",m,,
31291,"Alonso, Jorge Luis",m,,
31294,"Alonso, Jose",m,,
31298,"Alonso, José",m,"Mexico, Distrito Federal, Mexico",18 November 1947
31301,"Alonso, José",m,,
31304,"Alonso, José Luis",m,,
31308,"Alonso, José Manuel",m,,
31309,"Alonso, Juan",m,,
31312,"Alonso, Juan Carlos",m,,
31328,"Alonso, Luis",m,,
31336,"Alonso, Luis Esteban",m,,
31340,"Alonso, Manuel",m,,
31357,"Alonso, Miguel",m,,
31358,"Alonso, Miguel Ángel",m,,
31367,"Alonso, Oscar",m,,
31373,"Alonso, Paco",m,,
31380,"Alonso, Pedro",m,"Vigo, Pontevedra, Galicia, Spain",1972
31385,"Alonso, Pepe",m,,
31386,"Alonso, Piti",m,,
31387,"Alonso, Rafael",m,"Madrid, Spain",5 July 1920
31391,"Alonso, Ramiro",m,,
31392,"Alonso, Ramón",m,,
